train_loss,train_accuracy,valid_loss,valid_accuracy
1.5205, 0.3164, 1.4154, 0.3387
1.3839, 0.3647, 1.2733, 0.4947
1.2542, 0.4955, 1.1244, 0.5344
1.1354, 0.5317, 1.0279, 0.5652
1.0425, 0.5667, 0.9514, 0.6171
0.9622, 0.6227, 0.8563, 0.6921
0.8617, 0.6898, 0.8060, 0.7163
0.7306, 0.7341, 0.6852, 0.7384
0.6323, 0.7592, 0.5545, 0.7791
0.5815, 0.7739, 0.5347, 0.7823
0.5541, 0.7833, 0.4773, 0.8082
0.5189, 0.7968, 0.4574, 0.8184
0.4847, 0.8132, 0.4508, 0.8233
0.4593, 0.8262, 0.4159, 0.8450
0.4411, 0.8352, 0.4421, 0.8373
0.4147, 0.8432, 0.3773, 0.8573
0.4053, 0.8459, 0.3854, 0.8562
0.3905, 0.8525, 0.3675, 0.8597
0.3854, 0.8534, 0.3289, 0.8720
0.3701, 0.8581, 0.3159, 0.8766
0.3628, 0.8616, 0.3361, 0.8741
0.3570, 0.8651, 0.3251, 0.8710
0.3439, 0.8674, 0.3060, 0.8804
0.3354, 0.8724, 0.3046, 0.8766
0.3212, 0.8768, 0.3659, 0.8608
0.3154, 0.8794, 0.2808, 0.8913
0.3095, 0.8817, 0.3964, 0.8387
0.3005, 0.8860, 0.3074, 0.8762
0.2944, 0.8908, 0.3034, 0.8832
0.2913, 0.8878, 0.3007, 0.8822
0.2886, 0.8903, 0.2956, 0.8867
0.2751, 0.8964, 0.5029, 0.8128
0.2669, 0.8989, 0.2554, 0.9004
0.2585, 0.9021, 0.2480, 0.9050
0.2594, 0.9011, 0.2763, 0.8899
0.2565, 0.9034, 0.2471, 0.9032
0.2532, 0.9036, 0.2361, 0.9092
0.2407, 0.9103, 0.2382, 0.9092
0.2331, 0.9111, 0.3467, 0.8766
0.2379, 0.9113, 0.2381, 0.9088
0.2288, 0.9127, 0.2438, 0.9050
0.2291, 0.9136, 0.2263, 0.9120
0.2212, 0.9153, 0.2324, 0.9109
0.2156, 0.9175, 0.2172, 0.9155
0.2135, 0.9178, 0.2281, 0.9127
0.2043, 0.9231, 0.3775, 0.8755
0.2059, 0.9206, 0.2314, 0.9141
0.1983, 0.9277, 0.2161, 0.9137
0.1963, 0.9257, 0.2897, 0.8878
0.2019, 0.9204, 0.2332, 0.9158
