train_loss,train_accuracy,valid_loss,valid_accuracy
1.5474, 0.3223, 1.5806, 0.3254
1.3039, 0.4602, 1.1624, 0.5558
1.1185, 0.5672, 0.9259, 0.6725
0.9067, 0.6710, 0.6763, 0.7626
0.7693, 0.7158, 0.7093, 0.7328
0.6989, 0.7445, 0.6787, 0.7423
0.6373, 0.7633, 0.4739, 0.8236
0.5736, 0.7904, 0.4637, 0.8089
0.5329, 0.8053, 0.3711, 0.8612
0.4989, 0.8230, 0.3989, 0.8373
0.4617, 0.8371, 0.3414, 0.8636
0.4388, 0.8443, 0.3974, 0.8380
0.4194, 0.8509, 0.2885, 0.8945
0.4137, 0.8572, 0.2937, 0.8917
0.3783, 0.8698, 0.2855, 0.8976
0.3569, 0.8759, 0.2808, 0.8934
0.3464, 0.8787, 0.3173, 0.9039
0.3231, 0.8865, 0.2900, 0.8917
0.3204, 0.8916, 0.2904, 0.8899
0.3075, 0.8894, 0.2501, 0.9158
0.2914, 0.8994, 0.2521, 0.9120
0.2850, 0.9021, 0.3109, 0.8980
0.2653, 0.9057, 0.2606, 0.9092
0.2655, 0.9097, 0.2430, 0.9144
0.2537, 0.9142, 0.3550, 0.9074
0.2348, 0.9201, 0.2481, 0.9134
0.2321, 0.9225, 0.2451, 0.9180
0.2271, 0.9234, 0.2990, 0.8920
0.2249, 0.9230, 0.4836, 0.8264
0.2214, 0.9255, 0.3235, 0.8818
0.2069, 0.9297, 0.2344, 0.9194
0.2042, 0.9314, 0.2531, 0.9197
0.1886, 0.9363, 0.2494, 0.9151
0.1922, 0.9345, 0.2425, 0.9208
0.1912, 0.9362, 0.2279, 0.9215
0.1811, 0.9388, 0.2379, 0.9271
0.1702, 0.9446, 0.2356, 0.9253
0.1674, 0.9441, 0.2286, 0.9236
0.1656, 0.9438, 0.2332, 0.9239
0.1495, 0.9473, 0.2433, 0.9187
0.1526, 0.9483, 0.2318, 0.9239
0.1516, 0.9514, 0.2316, 0.9246
0.1477, 0.9523, 0.2739, 0.9099
0.1525, 0.9503, 0.2539, 0.9155
0.1323, 0.9572, 0.2580, 0.9173
0.1319, 0.9551, 0.2560, 0.9260
0.1392, 0.9562, 0.2674, 0.9190
0.1326, 0.9562, 0.2417, 0.9278
0.1320, 0.9570, 0.2341, 0.9260
0.1333, 0.9570, 0.2977, 0.9106
