train_loss,train_accuracy,valid_loss,valid_accuracy
0.9872, 0.6715, 0.5479, 0.8345
0.4371, 0.8729, 0.3009, 0.9032
0.2982, 0.9040, 0.2289, 0.9243
0.2283, 0.9272, 0.1924, 0.9337
0.1982, 0.9332, 0.1772, 0.9379
0.1658, 0.9423, 0.1686, 0.9358
0.1478, 0.9489, 0.1628, 0.9376
0.1321, 0.9565, 0.1531, 0.9460
0.1127, 0.9638, 0.1491, 0.9464
0.1025, 0.9669, 0.1481, 0.9453
0.0880, 0.9730, 0.1459, 0.9457
0.0730, 0.9790, 0.1448, 0.9488
0.0700, 0.9798, 0.1448, 0.9478
0.0606, 0.9823, 0.1417, 0.9464
0.0542, 0.9845, 0.1449, 0.9488
0.0444, 0.9897, 0.1534, 0.9474
0.0387, 0.9918, 0.1533, 0.9485
0.0297, 0.9947, 0.1558, 0.9467
0.0348, 0.9915, 0.1541, 0.9506
0.0263, 0.9949, 0.1531, 0.9516
0.0238, 0.9964, 0.1531, 0.9513
0.0205, 0.9968, 0.1600, 0.9492
0.0189, 0.9961, 0.1580, 0.9523
0.0161, 0.9976, 0.1661, 0.9481
0.0163, 0.9969, 0.1654, 0.9499
0.0169, 0.9970, 0.1705, 0.9492
0.0160, 0.9968, 0.1778, 0.9485
0.0125, 0.9984, 0.1715, 0.9509
0.0130, 0.9979, 0.1723, 0.9488
0.0107, 0.9993, 0.1787, 0.9509
0.0122, 0.9982, 0.1731, 0.9502
0.0095, 0.9993, 0.1885, 0.9481
0.0101, 0.9988, 0.1766, 0.9523
0.0080, 0.9994, 0.1744, 0.9520
0.0071, 0.9996, 0.1782, 0.9516
0.0082, 0.9989, 0.1866, 0.9502
0.0089, 0.9985, 0.1790, 0.9527
0.0074, 0.9994, 0.1794, 0.9495
0.0080, 0.9988, 0.1779, 0.9495
0.0054, 0.9996, 0.1868, 0.9516
0.0057, 0.9993, 0.1864, 0.9520
0.0068, 0.9991, 0.1887, 0.9495
0.0053, 0.9995, 0.1823, 0.9516
0.0106, 0.9987, 0.2025, 0.9495
0.0054, 0.9996, 0.1875, 0.9506
0.0051, 0.9996, 0.1865, 0.9495
0.0059, 0.9991, 0.1884, 0.9509
0.0046, 0.9995, 0.1869, 0.9513
0.0048, 0.9996, 0.1875, 0.9520
0.0047, 0.9996, 0.1941, 0.9509
